Date,Consumer Confidence Index (OECD)
3/1/2023 0:00,97.91438
4/1/2023 0:00,98.12037
5/1/2023 0:00,98.30653
6/1/2023 0:00,98.48672
7/1/2023 0:00,98.57254
8/1/2023 0:00,98.47602
9/1/2023 0:00,98.31648
10/1/2023 0:00,98.21379
11/1/2023 0:00,98.32161
12/1/2023 0:00,98.64767
1/1/2024 0:00,98.99354
2/1/2024 0:00,99.18041
3/1/2024 0:00,99.23685
4/1/2024 0:00,99.15881
5/1/2024 0:00,99.01476
6/1/2024 0:00,98.93215
7/1/2024 0:00,98.90831
8/1/2024 0:00,98.93671
9/1/2024 0:00,98.98847
