Date,FTSE ALL Share,FTSE Small Cap Index
2014-03-01,3555.59321,4473.18102
2014-04-01,3619.82529,4470.73753
2014-05-01,3655.00682,4484.62337
2014-06-01,3600.19339,4442.45787
2014-07-01,3585.62189,4410.00134
2014-08-01,3639.54284,4467.16489
2014-09-01,3533.93169,4377.99225
2014-10-01,3503.45986,4333.33548
2014-11-01,3593.31699,4368.88681
2014-12-01,3532.73902,4365.91578
2015-01-01,3621.81341,4420.09258
2015-02-01,3744.25709,4549.36079
2015-03-01,3663.58292,4598.84635
2015-04-01,3760.06473,4655.03757
2015-05-01,3797.11793,4790.47511
2015-06-01,3570.58025,4677.04977
2015-07-01,3652.78982,4707.72257
2015-08-01,3434.65837,4593.37214
2015-09-01,3335.91872,4482.84426
2015-10-01,3484.59571,4599.28145
2015-11-01,3492.13011,4576.67644
2015-12-01,3444.26402,4634.66371
2016-01-01,3335.89632,4364.76084
2016-02-01,3345.84368,4374.7236
2016-03-01,3395.19368,4542.81727
2016-04-01,3421.70179,4589.05458
2016-05-01,3429.77045,4596.01073
2016-06-01,3515.45376,4471.54552
2016-07-01,3653.82678,4774.87656
2016-08-01,3697.19304,4897.61813
2016-09-01,3755.33554,4974.85825
2016-10-01,3768.14304,4971.80019
2016-11-01,3692.39641,4923.30233
2016-12-01,3873.2175,5143.21689
2017-01-01,3858.2612,5207.05652
2017-02-01,3953.4243,5288.33791
2017-03-01,3990.001,5430.4633
2017-04-01,3962.48575,5528.63288
2017-05-01,4116.07939,5655.22215
2017-06-01,4002.17976,5584.96391
2017-07-01,4046.19837,5701.00223
2017-08-01,4072.98025,5715.17979
2017-09-01,4049.89362,5712.41269
2017-10-01,4117.69214,5833.79044
2017-11-01,4033.83871,5770.97395
2017-12-01,4221.81771,5911.89
2018-01-01,4137.65643,5897.77241
2018-02-01,3981.6075,5704.22614
2018-03-01,3894.16798,5593.09412
2018-04-01,4127.67904,5862.71278
2018-05-01,4222.19943,5924.90463
2018-06-01,4202.24887,5876.82449
2018-07-01,4253.31244,5880.89541
2018-08-01,4106.14436,5837.32099
2018-09-01,4127.9106,5821.98907
2018-10-01,3904.2336,5439.7308
2018-11-01,3823.34461,5383.53774
2018-12-01,3675.06056,5177.213
2019-01-01,3825.62208,5374.40143
2019-02-01,3888.81039,5422.77872
2019-03-01,3978.28487,5466.3493
2019-04-01,4067.98108,5675.03305
2019-05-01,3923.86793,5555.3811
2019-06-01,4056.88096,5570.09769
2019-07-01,4134.02746,5543.29828
2019-08-01,3953.02433,5376.32223
2019-09-01,4061.74234,5467.59663
2019-10-01,3993.45782,5454.7363
2019-11-01,4066.73242,5620.25022
2019-12-01,4196.47359,5950.49199
2020-01-01,4057.47013,5895.85977
2020-02-01,3673.6123,5384.70339
2020-03-01,3107.41776,4262.47602
2020-04-01,3262.50601,4680.75443
2020-05-01,3363.66874,4864.70477
2020-06-01,3410.92898,5011.72584
2020-07-01,3282.02479,4942.71521
2020-08-01,3342.44467,5112.26725
2020-09-01,3282.25149,5039.65444
2020-10-01,3151.26894,5092.44579
2020-11-01,3542.87186,5853.11461
2020-12-01,3673.63319,6215.49239
2021-01-01,3641.92604,6230.35959
2021-02-01,3702.3956,6477.29268
2021-03-01,3831.04982,6779.79626
2021-04-01,3983.84657,7125.24646
2021-05-01,4016.13363,7265.5382
2021-06-01,4014.74421,7341.4679
2021-07-01,4030.24194,7359.3229
2021-08-01,4109.95878,7627.4621
2021-09-01,4058.96493,7457.55312
2021-10-01,4129.1586,7417.66221
2021-11-01,4025.86522,7174.48884
2021-12-01,4208.02465,7459.42857
2022-01-01,4191.8149,7153.38529
2022-02-01,4157.77324,6874.989
2022-03-01,4187.77962,6953.30548
2022-04-01,4185.1188,6846.44856
2022-05-01,4201.96118,6685.28692
2022-06-01,3940.90124,6234.36611
2022-07-01,4107.01353,6486.63027
2022-08-01,4007.45582,6354.89798
2022-09-01,3763.47762,5877.58341
2022-10-01,3876.47534,5852.31373
